# Monthly XCH4 background level and seasonal cycle derived from satellite observations.
# Input data: obs4MIPS v5.1 XCH4 (2003-2024) + GOSAT-1/FOCAL XCH4 (2025)
# Spatial range: 60S-60N, land
# Created by: Jonas Hachmeister, jonas_h@iup.physik.uni-bremen.de
# Reference: 10.5194/acp-24-577-2024, 10.5281/zenodo.18231071
# Date of creation: 2026-01-29T11:29:35
# Info: The level is the underlying XCH4 concentration without seasonal or short-term variability. Both level and seasonal cycle are estimated using a dynamic linear model (see reference).
time;level [ppb];level_and_seasonal_cycle [ppb]
2016-08;1806.646476447999;1808.959482580471
2016-09;1807.1469283102645;1810.9513401228821
2016-10;1807.6076093654901;1810.769958261305
2016-11;1808.042038638265;1811.4556186606656
2016-12;1808.4714656001909;1811.9369557045807
2017-01;1808.9032207442685;1810.8656726471281
2017-02;1809.3534418579368;1810.490827732125
2017-03;1809.834473925641;1809.9720956338006
2017-04;1810.3625273822008;1807.0036250623177
2017-05;1810.9650764268906;1804.2642858783884
2017-06;1811.6575295012658;1805.2286563727434
2017-07;1812.4465954651257;1809.888081019966
2017-08;1813.323891216751;1815.0947935246918
2017-09;1814.2748661199325;1817.7101280645493
2017-10;1815.2775236490706;1818.0752844002275
2017-11;1816.2920871173717;1819.2601880986872
2017-12;1817.2958228805512;1821.1940175523532
2018-01;1818.249376973996;1820.2382720897979
2018-02;1819.142466610543;1819.7567244458435
2018-03;1819.9540743440762;1820.3120574726736
2018-04;1820.6805239631472;1818.1792855786555
2018-05;1821.3138917091715;1814.9845213050974
2018-06;1821.8628300843789;1815.984195400533
2018-07;1822.3269528893043;1820.4187281216298
2018-08;1822.7128303869308;1825.0864783626364
2018-09;1823.0415873015418;1826.76814327507
2018-10;1823.3448048009254;1825.5757130189415
2018-11;1823.648684447005;1826.014262714971
2018-12;1823.9715222730604;1827.28339251267
2019-01;1824.3223151463496;1825.717432685458
2019-02;1824.7121940157742;1824.7198193075449
2019-03;1825.140160340296;1825.0847029831307
2019-04;1825.604693249423;1823.2679683066854
2019-05;1826.1012172537135;1820.8214019168674
2019-06;1826.6274185084555;1821.020887223588
2019-07;1827.1948412447853;1824.4739189791449
2019-08;1827.8151258318085;1829.9240323269603
2019-09;1828.4975942993412;1833.0533689954939
2019-10;1829.251628232423;1832.2060280578814
2019-11;1830.0999195108786;1832.4736440977033
2019-12;1831.0543689268534;1834.123421513013
2020-01;1832.1167050185045;1833.6759212516872
2020-02;1833.2588172211435;1832.990171543181
2020-03;1834.4789365911947;1834.1996909407087
2020-04;1835.758224125223;1833.087726142801
2020-05;1837.0848715004652;1831.4715900799372
2020-06;1838.4562710532527;1832.841656819027
2020-07;1839.8578992691362;1836.524763798716
2020-08;1841.3002441789927;1842.9007785390809
2020-09;1842.7656669621024;1846.9317200764956
2020-10;1844.2510899203555;1848.172957449751
2020-11;1845.7372509671302;1850.4712392892282
2020-12;1847.211984237229;1851.2672786055418
2021-01;1848.6921370226469;1849.5245853364745
2021-02;1850.1960022652386;1849.8377714963513
2021-03;1851.7271723595911;1851.0889780174243
2021-04;1853.2777943392762;1849.7227154732936
2021-05;1854.8360042808167;1848.521413248868
2021-06;1856.396742390706;1850.3278363492957
2021-07;1857.9428534461408;1854.609405151351
2021-08;1859.4631747452877;1860.9065528783754
2021-09;1860.9470120706512;1865.3779105230042
2021-10;1862.3933045662495;1866.7227331945605
2021-11;1863.7987832689328;1868.2417243708057
2021-12;1865.167123258299;1869.4512583247379
2022-01;1866.4918199825017;1868.6562284975976
2022-02;1867.7600293114765;1868.4440884438409
2022-03;1868.9794425849752;1868.1142016832734
2022-04;1870.1623358609336;1865.6299940148176
2022-05;1871.3356185828532;1864.87727462451
2022-06;1872.5043913010268;1866.212502815754
2022-07;1873.6657523110416;1869.5078880384576
2022-08;1874.8239023957335;1875.9285211452643
2022-09;1875.9625873247771;1880.2485639335614
2022-10;1877.0633139666436;1881.5092634558948
2022-11;1878.0962641688263;1883.2494417463604
2022-12;1879.045780699085;1883.8172584094182
2023-01;1879.9048922605552;1882.0654777168095
2023-02;1880.6761532461285;1880.8180605777204
2023-03;1881.3657357956686;1879.7300302295155
2023-04;1881.973001509107;1878.1358616605971
2023-05;1882.4930857415977;1876.769227799279
2023-06;1882.9392629772567;1876.2219186826285
2023-07;1883.3319303089856;1879.5069494080574
2023-08;1883.694992901595;1885.89441560559
2023-09;1884.0512048806188;1888.457190720366
2023-10;1884.4305948341573;1888.2200034767654
2023-11;1884.8625346082897;1889.6833664660378
2023-12;1885.3503388662702;1889.6375666851657
2024-01;1885.8865173162594;1887.9053128685287
2024-02;1886.4626254158557;1886.8797363756382
2024-03;1887.0798794038797;1885.0461553277562
2024-04;1887.7581394533395;1883.2976980605113
2024-05;1888.5119668577615;1882.3642045863862
2024-06;1889.3513460695758;1882.4262383942528
2024-07;1890.26736058673;1886.7813265783554
2024-08;1891.2262095791875;1893.6158147816038
2024-09;1892.1845859367847;1897.0657667786186
2024-10;1893.0979096478732;1898.4118008186063
2024-11;1893.9327947953275;1899.7275293672105
2024-12;1894.6797853480873;1898.3197321212153
2025-01;1895.3420153332922;1895.6618241145584
2025-02;1895.9421944953206;1895.0088350778433
2025-03;1896.4715070260163;1893.7402493837906
2025-04;1896.9164386380037;1892.5317961942865
2025-05;1897.2605402072197;1892.3818014421101
2025-06;1897.4819871849443;1892.5748426698526
2025-07;1897.5789510870857;1895.734544106836
2025-08;1897.5672245560604;1899.9138119116626
2025-09;1897.4726575145442;1901.519324470619
2025-10;1897.3349635616228;1902.3891148048885
2025-11;1897.1671554820193;1901.508127983034
2025-12;1896.9999215175671;1899.4843981282345
2026-01;1896.8326875531138;1897.753905014105
