# Monthly XCO2 background level and seasonal cycle derived from satellite observations.
# Input data: obs4MIPS v5.1 XCO2 (2003-2024) + GOSAT-1/FOCAL XCO2 (2025)
# Spatial range: 60S-60N, land
# Created by: Jonas Hachmeister, jonas_h@iup.physik.uni-bremen.de
# Reference: 10.5194/acp-24-577-2024, 10.5281/zenodo.18231071
# Date of creation: 2026-01-29T11:23:32
# Info: The level is the underlying XCO2 concentration without seasonal or short-term variability. Both level and seasonal cycle are estimated using a dynamic linear model (see reference).
time;level [ppm];level_and_seasonal_cycle [ppm]
2006-08;380.75169063165526;379.09369234549644
2006-09;380.93476302638544;379.0601069430895
2006-10;381.1137224916561;379.72156527697194
2006-11;381.2919530062176;380.56824117768934
2006-12;381.47059988910087;381.4196919487915
2007-01;381.652191026844;382.26620938489856
2007-02;381.84004690243216;382.9210604362931
2007-03;382.0297450505785;383.2403995638762
2007-04;382.2199933433132;383.4872514829406
2007-05;382.40729204325913;383.6699880395175
2007-06;382.59482602066777;383.367795277988
2007-07;382.782591071733;382.3729760426508
2007-08;382.97486864171225;381.39243676725715
2007-09;383.1724891428717;381.2138433787035
2007-10;383.37989618131667;381.8784885800229
2007-11;383.59497573819175;382.8362705653939
2007-12;383.8096811536116;383.77826999839573
2008-01;384.014994741717;384.6677444303025
2008-02;384.20131108589067;385.2816766002977
2008-03;384.3670924745103;385.5360469852768
2008-04;384.51371452306;385.6914778345832
2008-05;384.64796063566496;385.86557446295325
2008-06;384.7749455327942;385.56968119972527
2008-07;384.90174570991513;384.56333661052116
2008-08;385.0329545551987;383.5379346328234
2008-09;385.1645771416944;383.3328155109846
2008-10;385.29500263457635;383.9706583688866
2008-11;385.4225775876153;384.78522587062844
2008-12;385.54643372556626;385.43513132577715
2009-01;385.67027342952883;386.08064935667545
2009-02;385.79676101910377;386.64590246937416
2009-03;385.92987163102174;386.92760870860167
2009-04;386.0674460507034;387.07903681083314
2009-05;386.2149007438766;387.40830270409623
2009-06;386.36552159135516;387.37026660207283
2009-07;386.51434392588686;386.4645977923413
2009-08;386.6609509578889;385.3391394808076
2009-09;386.80788318901136;385.06317277935125
2009-10;386.95856770188476;385.6928622798861
2009-11;387.1182214306689;386.48931598982
2009-12;387.28748126648895;387.0770821370325
2010-01;387.4673684678137;387.67041348908555
2010-02;387.66051146645754;388.30463466715065
2010-03;387.86297967096743;388.7356669966772
2010-04;388.07255606066144;389.1132100965045
2010-05;388.285641535986;389.5462337419247
2010-06;388.49879575134645;389.53604986377877
2010-07;388.70524895836223;388.67913396126715
2010-08;388.90429193157314;387.69267473728337
2010-09;389.0913735975763;387.5018709605011
2010-10;389.2635357332848;388.08938904099386
2010-11;389.42083519722746;388.79198787895984
2010-12;389.5676236111209;389.3267461319145
2011-01;389.70955782017205;389.82653616148764
2011-02;389.85076572012616;390.3178704831332
2011-03;389.99739450118494;390.7949910981099
2011-04;390.14653464552777;391.2622381670912
2011-05;390.2973709694822;391.62593493628833
2011-06;390.44639514752674;391.4513665006862
2011-07;390.5939866318855;390.59438127254185
2011-08;390.74363928221896;389.64318625219875
2011-09;390.89587479831323;389.31736983028526
2011-10;391.05813283715065;389.79125871101195
2011-11;391.2301442117081;390.5306846670187
2011-12;391.41446522719116;391.1741790015057
2012-01;391.61043084907345;391.73858959220956
2012-02;391.81361583848224;392.3043534569874
2012-03;392.0202842211941;392.8758184479555
2012-04;392.2293700345076;393.40103918392475
2012-05;392.4423741472232;393.70813709535855
2012-06;392.6595443096822;393.5276619653664
2012-07;392.88080507016053;392.84838070121714
2012-08;393.10443037517814;392.0874371200691
2012-09;393.3256510758773;391.79111036712425
2012-10;393.5460591235139;392.2394380537723
2012-11;393.76901480595234;393.127241799875
2012-12;393.9915943324941;393.86921966405873
2013-01;394.2127610449103;394.34062523111413
2013-02;394.4336218532585;394.8313775561723
2013-03;394.65147261934237;395.4545220818372
2013-04;394.8636784798092;396.0513714793513
2013-05;395.06782755003434;396.35729639629915
2013-06;395.2620231621374;396.1280058867031
2013-07;395.4424599898471;395.3393962171081
2013-08;395.60899631455624;394.4879154360789
2013-09;395.76366561245965;394.2299246650683
2013-10;395.90854057750687;394.70351561134737
2013-11;396.04899802581116;395.4937181768601
2013-12;396.19181534943704;396.1453491326166
2014-01;396.3380808782559;396.52312050974166
2014-02;396.4911173954496;396.8757632149198
2014-03;396.6532215574746;397.4105266729901
2014-04;396.8255882123697;398.025643070565
2014-05;397.0049623468681;398.32848590091595
2014-06;397.1871435368748;397.9869360714104
2014-07;397.36716320758535;397.0774573194349
2014-08;397.5440163119669;396.22377649331486
2014-09;397.7172365260615;396.0957360741387
2014-10;397.8871515964262;396.77838372522655
2014-11;398.0536243496533;397.69724713866816
2014-12;398.2170615643153;398.2911783500695
2015-01;398.38149595404656;398.596874241238
2015-02;398.5543296179339;399.00794968865904
2015-03;398.7398079377321;399.6473765378001
2015-04;398.93941575104645;400.2578546322579
2015-05;399.15649812583206;400.46841860120634
2015-06;399.39504777450423;400.02433990532995
2015-07;399.65529422674047;399.0890126283337
2015-08;399.93775954157456;398.40227449787335
2015-09;400.23736887613535;398.5730476715221
2015-10;400.54933458882226;399.48773907036
2015-11;400.8664313998934;400.5061121381259
2015-12;401.18407797690185;401.2734386721561
2016-01;401.4938472710413;401.842133025769
2016-02;401.78791006318625;402.4062374303927
2016-03;402.0632895164191;403.0790763377266
2016-04;402.3169120487688;403.7057788667192
2016-05;402.5502959104408;403.90970133246003
2016-06;402.7682402370884;403.3586722991422
2016-07;402.97292279767805;402.25281938767705
2016-08;403.17259436386547;401.49627073263036
2016-09;403.3679298109797;401.6746262161662
2016-10;403.55904686089843;402.54064845627687
2016-11;403.7457439688919;403.43796082623106
2016-12;403.92813395649955;404.039375997299
2017-01;404.1060458147978;404.4551892055298
2017-02;404.28277317251474;404.9181546831906
2017-03;404.4604323493264;405.4821266359113
2017-04;404.6402198447763;406.005232892203
2017-05;404.8243629622337;406.15754659190355
2017-06;405.0118937146241;405.58203017250696
2017-07;405.20150674155553;404.48718414311617
2017-08;405.39061258912136;403.70864636266634
2017-09;405.5762401831674;403.8848517880965
2017-10;405.75541844965034;404.7565328747317
2017-11;405.9283503946087;405.623012319543
2017-12;406.09634922935265;406.16905141077694
2018-01;406.2617567500144;406.5888390232913
2018-02;406.4269522656132;407.0916646011619
2018-03;406.5929340204096;407.6584123992311
2018-04;406.7625199481343;408.1610250630544
2018-05;406.93874844962835;408.3010344768617
2018-06;407.1246910490843;407.74242190783144
2018-07;407.32135911926747;406.63557533034077
2018-08;407.5303425732104;405.814761196683
2018-09;407.7521355307053;405.97314472361387
2018-10;407.98528503121827;406.90008205453114
2018-11;408.22889602764224;407.88429483817066
2018-12;408.48192779631006;408.560899592928
2019-01;408.73893927010965;409.0530564631009
2019-02;408.99699364357406;409.6344022510071
2019-03;409.2512023012681;410.33220109226585
2019-04;409.49464108071095;410.93947391203517
2019-05;409.72413046577;411.1460436804204
2019-06;409.9379871040598;410.62806210111324
2019-07;410.13732438283705;409.5165853504949
2019-08;410.32436640534047;408.59740269053293
2019-09;410.5044871130712;408.65463794070246
2019-10;410.68041633839164;409.55267096458243
2019-11;410.8543684069494;410.52740804698675
2019-12;411.0295199761415;411.1515682444718
2020-01;411.2055377037389;411.55905811847555
2020-02;411.3805691815298;412.0088509747841
2020-03;411.55731015983474;412.5893230034691
2020-04;411.7351031861052;413.1108903413602
2020-05;411.9138787610631;413.2662432442641
2020-06;412.09599076769564;412.7807558683499
2020-07;412.27787875588274;411.68659950420914
2020-08;412.46086932085456;410.74931177351687
2020-09;412.64459072797484;410.77388497458344
2020-10;412.82916629179294;411.7207147642709
2020-11;413.0137526355738;412.7851140654433
2020-12;413.19714616093887;413.3996140256952
2021-01;413.37973047474975;413.7286505310748
2021-02;413.5654161371534;414.1640101200167
2021-03;413.7575544050403;414.7540602973947
2021-04;413.95716249885874;415.2862479961097
2021-05;414.1645277426073;415.48260122608883
2021-06;414.37887198800183;415.03733253168275
2021-07;414.59769316258894;413.9960636097934
2021-08;414.8187194001347;413.113007463
2021-09;415.04105124058486;413.2190887811092
2021-10;415.2598162590976;414.18531054592563
2021-11;415.4732435807226;415.2161606609574
2021-12;415.6796159172681;415.8355639073395
2022-01;415.87712839505684;416.23111492398516
2022-02;416.0635319408179;416.7000202360082
2022-03;416.2386009000983;417.266803569458
2022-04;416.4034969302698;417.7533558317329
2022-05;416.55908466210946;417.8696406095555
2022-06;416.7058951169635;417.33035466516
2022-07;416.8449866753102;416.2433244364169
2022-08;416.9807081665981;415.3343870495754
2022-09;417.11675523686114;415.3205158063117
2022-10;417.2583311002484;416.1658277102855
2022-11;417.41073617119775;417.1468623328178
2022-12;417.5763136103067;417.7136511028477
2023-01;417.7563246745817;418.04317603714816
2023-02;417.9506045215958;418.5521386850127
2023-03;418.1598162748819;419.25976394267866
2023-04;418.3832366111788;419.794711003922
2023-05;418.6238453624364;419.8758558156525
2023-06;418.8831916278524;419.3953855348712
2023-07;419.16288869521736;418.52732914341505
2023-08;419.4611717758561;417.84442488709755
2023-09;419.77178232038915;418.00917785352004
2023-10;420.09007247939235;419.0645154909852
2023-11;420.4135876122146;420.24255504321025
2023-12;420.7393008351456;420.8874204922969
2024-01;421.0650712409295;421.26330435481634
2024-02;421.38747844594326;421.9206793543292
2024-03;421.7039619353323;422.7974784924446
2024-04;422.01363277336236;423.4165731663345
2024-05;422.317762853931;423.55521815639645
2024-06;422.61633901636975;423.19407982400605
2024-07;422.90721629069475;422.3664904153394
2024-08;423.1902295969877;421.5711948071005
2024-09;423.4623628328406;421.6259296077154
2024-10;423.72230908152216;422.7178153118827
2024-11;423.9655360596294;423.9071208599394
2024-12;424.19035146882254;424.3758369219416
2025-01;424.39989421258775;424.4806902721357
2025-02;424.59830170499737;424.9725504019598
2025-03;424.7850855584643;425.7958247807718
2025-04;424.9629564030701;426.4082461998246
2025-05;425.1257567170788;426.4317744585057
2025-06;425.27332920938954;425.9210331127434
2025-07;425.4052524254937;424.96839658262473
2025-08;425.52186475638916;423.9781142072365
2025-09;425.6266317174737;423.7748287263275
2025-10;425.72361373633896;424.62640750473133
2025-11;425.8176789534556;425.6924459696096
2025-12;425.91008788241845;426.0786070935008
2026-01;426.0024968117381;426.07303571250037
